2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0001941s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Artists
2023-08-21 14:12:43.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "Artists" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "ForeignArtistId" TEXT NOT NULL, "MBId" TEXT, "AMId" TEXT, "TADBId" INTEGER, "DiscogsId" INTEGER, "Name" TEXT NOT NULL, "NameSlug" TEXT, "CleanName" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "AlbumFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "DateFormed" DATETIME, "Members" TEXT, "Ratings" TEXT, "Genres" TEXT, "SortName" TEXT, "ProfileId" INTEGER, "Tags" TEXT, "Added" DATETIME, "AddOptions" TEXT, "LanguageProfileId" INTEGER NOT NULL DEFAULT 1, "Links" TEXT, "ArtistType" TEXT, "Disambiguation" TEXT, "PrimaryAlbumTypes" TEXT, "SecondaryAlbumTypes" TEXT)
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0078822s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (ForeignArtistId)
2023-08-21 14:12:43.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_Artists_ForeignArtistId" ON "Artists" ("ForeignArtistId" ASC)
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0005454s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (NameSlug)
2023-08-21 14:12:43.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_Artists_NameSlug" ON "Artists" ("NameSlug" ASC)
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0003394s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (CleanName)
2023-08-21 14:12:43.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE INDEX "IX_Artists_CleanName" ON "Artists" ("CleanName" ASC)
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0002769s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (Path)
2023-08-21 14:12:43.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE INDEX "IX_Artists_Path" ON "Artists" ("Path" ASC)
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0003312s
2023-08-21 14:12:43.8|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Albums
